,Baseline,Augmented Sampling,Curve Loss,Sensitivity Weights,Multi-Task,Hierarchical,Attention
Dmax1,5.24225722377499,5.047744683300456,3.909878432750702,6.284995858247082,6.5091655900081005,7.0225028321146965,5.1021575927734375
D01,7.785884663462639,7.343547573933999,12.442388106137514,11.570785815517109,10.796976275742054,10.05368462453286,10.34534148251017
L1,6.839832517121418,5.900586144819569,7.3567487281532244,8.132301445584746,6.488511504497953,9.255741483334882,6.245316818911726
Rp1,6.672888957837131,5.699824669136433,7.09322239345056,6.3312218117062,7.693816769460682,6.346588634187356,5.923252956563374
D02,8.008823109169802,7.93607517456015,10.998976261665424,11.32157010336717,7.98127381131053,9.971122878293198,8.79677866275112
L2,16.76695521584608,11.488460182186422,14.289376445554403,14.748900664724513,15.812243469150012,16.00706835031613,14.795044383693796
Rp2,21.773469667935462,14.518546567370114,23.05320706979658,19.046751381560732,20.875769013610597,23.069156808420445,19.963226804975424
